REGION_NAME,COUNTRY_CODE
East Asia & Pacific,AU
East Asia & Pacific,KH
East Asia & Pacific,CN
East Asia & Pacific,FJ
East Asia & Pacific,ID
East Asia & Pacific,JP
East Asia & Pacific,MY
East Asia & Pacific,MN
East Asia & Pacific,MM
East Asia & Pacific,NZ
East Asia & Pacific,PG
East Asia & Pacific,PH
East Asia & Pacific,KR
East Asia & Pacific,TH
East Asia & Pacific,TL
East Asia & Pacific,VN
Eastern Europe,AL
Eastern Europe,BA
Eastern Europe,BG
Eastern Europe,HR
Eastern Europe,CZ
Eastern Europe,HU
Eastern Europe,MK
Eastern Europe,MD
Eastern Europe,PL
Eastern Europe,RO
Eastern Europe,RS
Eastern Europe,SK
Eastern Europe,SI
Eastern Europe,TR
Eastern Europe,UA
Central Asia,AZ
Central Asia,GE
Central Asia,KZ
Central Asia,KG
Central Asia,RU
Central Asia,TJ
Latin America & Caribbean,AR
Latin America & Caribbean,BO
Latin America & Caribbean,BR
Latin America & Caribbean,CL
Latin America & Caribbean,CO
Latin America & Caribbean,CR
Latin America & Caribbean,DO
Latin America & Caribbean,EC
Latin America & Caribbean,SV
Latin America & Caribbean,GT
Latin America & Caribbean,HN
Latin America & Caribbean,MX
Latin America & Caribbean,NI
Latin America & Caribbean,PY
Latin America & Caribbean,PE
Latin America & Caribbean,TT
Latin America & Caribbean,VE
Middle East & North Africa,DZ
Middle East & North Africa,EG
Middle East & North Africa,IQ
Middle East & North Africa,JO
Middle East & North Africa,LB
Middle East & North Africa,MA
Middle East & North Africa,QA
Middle East & North Africa,TN
Middle East & North Africa,SA
Middle East & North Africa,YE
South Asia,AF
South Asia,BD
South Asia,IN
South Asia,NP
South Asia,PK
South Asia,LK
Sub-Saharan Africa,AO
Sub-Saharan Africa,BJ
Sub-Saharan Africa,BW
Sub-Saharan Africa,BF
Sub-Saharan Africa,BI
Sub-Saharan Africa,CM
Sub-Saharan Africa,TD
Sub-Saharan Africa,KM
Sub-Saharan Africa,CI
Sub-Saharan Africa,CD
Sub-Saharan Africa,GQ
Sub-Saharan Africa,GH
Sub-Saharan Africa,KE
Sub-Saharan Africa,LS
Sub-Saharan Africa,LR
Sub-Saharan Africa,MG
Sub-Saharan Africa,MW
Sub-Saharan Africa,ML
Sub-Saharan Africa,MZ
Sub-Saharan Africa,NA
Sub-Saharan Africa,NE
Sub-Saharan Africa,NG
Sub-Saharan Africa,RW
Sub-Saharan Africa,ST
Sub-Saharan Africa,SN
Sub-Saharan Africa,SL
Sub-Saharan Africa,SO
Sub-Saharan Africa,ZA
Sub-Saharan Africa,SS
Sub-Saharan Africa,SD
Sub-Saharan Africa,SZ
Sub-Saharan Africa,TZ
Sub-Saharan Africa,UG
Sub-Saharan Africa,ZM
Sub-Saharan Africa,ZW
"Western Europe, U.S. & Canada",CA
"Western Europe, U.S. & Canada",FR
"Western Europe, U.S. & Canada",DE
"Western Europe, U.S. & Canada",IT
"Western Europe, U.S. & Canada",NO
"Western Europe, U.S. & Canada",PT
"Western Europe, U.S. & Canada",ES
"Western Europe, U.S. & Canada",SE
"Western Europe, U.S. & Canada",GB
"Western Europe, U.S. & Canada",US
